yazar_adi,metin_pasaji,kaynak_link,donem
Yunus Emre,Ah N'ideyim Ömrüm Seni / Yunus Emre,https://tr.wikisource.org/wiki/Ah_n%27ideyim_%C3%B6mr%C3%BCm_seni,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,Ömrüm beni sen aldadın / Ah n'ideyim ömrüm seni / Beni deprenimez kodun / Ah n'ideyim ömrüm seni / Benim derdim hey sen idin / Canım içinde can idin / Hem sen bana sultan idin / Ah n'ideyim ömrüm seni / Gönlüm sana eğler idim / Gül deyüben yiyler idim / Garipseyip ağlar idim / Ah n'ideyim ömrüm seni / Gider imiş bunda gelen / Dünya işi cümle yalan / Ağlar ömrüm yavı kılan / Ah n'ideyim ömrüm seni / Hayrım şerrim yazılısar / Ömrüm ipi üzüliser / Gidip suret bozulısar / Ah n'ideyim ömrüm seni / Bari koyuban kaçmasan / Göçgüncü gibi geçmesen / Ölüm şarabın içmesen / Ah n'ideyim ömrüm seni / Bir gün ola sensiz kalam / Kurda kuşa öyün olam / Çürüyüben toprak olam / Ah n'ideyim ömrüm seni / Miskin Yunus bilmez misin / Yoksa nazar kılmaz mısın / Ölenleri anmaz mısın / Ah n'ideyim ömrüm seni,https://tr.wikisource.org/wiki/Ah_n%27ideyim_%C3%B6mr%C3%BCm_seni,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,Arifler Ortasında / Yunus Emre,https://tr.wikisource.org/wiki/Arifler_ortas%C4%B1nda,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Arifler ortasında Sufilik satmayalar / Cun Sufiye ihlas oldu, Aşka riya katmayalar / Ya gel bildiğinden eyit, yahut bilenlerden işit / Teslimin ucun tutup, hiç sözü uzatmayalar / Kuran'ı virip idi, gönüle evim dedi / Gönül ev ıssın bilmez ademden tutmayalar / Mumsuz baldır şeriat, tortusuz yağdır tarikat / Dost için balı yağa ne için katmayalar / Evvel Adem yanıldı, uçmakta buğday yedi / İşi Hak'tan bilenler şeytandan tutmayalar / Şirin huylar eyleğil, tatlı sözler söyleğil / Sohbetlerde Yunus'u hergiz unutmayalar",https://tr.wikisource.org/wiki/Arifler_ortas%C4%B1nda,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Helal kıldı maşuka, Âşık kendi kanını / Maşuk nakşından okur, Aşk eri kuranını / Yârdan ayrı olunca, asılıp ölmek yeğdir / Âşık kendi bırakır boynuna urganını / Gitmez âşık gözünden, hergiz maşuk hayali / Nitekim Zelha verir Yusuf'un nişanını / Dirlik budur maşuka, Âşık yolunda öle / Sorarlar ise eydem âşıkın burhanını / [ / 1 / ] / Belkıs ile Süleyman aşka düştü bir zaman / İsteyip bulmadılar bu derdin dermanını / Gökteki Harut Marut, Aşk için indi yere / Zühre yüzün görünce unuttu rahmanını / Ferhad bu aşk yolunda başın külünge / [ / 2 / ] / tuttu / Hüsrev Şirin derdinden dosta verdi canını / Leylâ ile Mecnun işi aceb gelir bu halka / Abdurrezzak terketti aşk için imanını / Zamane vefaları cefa gelir Yunus'a / Bir doğru yar bulunca feda kılar canını",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1k_-_ma%C5%9Fuk,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Canını aşk yoluna vermeyen âşık mıdır / Cehdeyleyip ol dosta ermeyen âşık mıdır / Dost sevgisin gönülde, can ile berkitmeyen / Tul-i emel defterin dürmeyen âşık mıdır / Nefs arzusundan geçip, aşk kadehinden içip / Dost yoluna er gibi, durmayan âşık mıdır / Dün ü gün ü riyazetde halvetlerde diz çöküp / Sohbetlerde baş çatıp, durmayan âşık mıdır / Yunus imdi ol dostun, cefasına sabreyle / Yüreğine aşk odun, Urmayan âşık mıdır",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1k_m%C4%B1d%C4%B1r,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,Âşıklar Ölmez / Yunus Emre,https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klar_%C3%B6lmez,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Ya rab bu ne derttir derman bulunmaz / Benim garip gönlüm aşktan usanmaz / Âşık ki cana kaldı aşık olmaz / Cânın terketmeyen, ma'şukun bulmaz / Âşk pazarıdır bu canlar satılır / Satarım canımı kimseler almaz / Âşık, bir kişidir, Bu dünya malın / Ahiret korkusun bir pula saymaz / Bu dünya ol ahiretten içeri / Âşıkın yeri var kimseler bilmez / Yunus öldü diye sela verirler / Ölen beden imiş, âşıklar ölmez",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klar_%C3%B6lmez,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Kaynak: / Sarı, İbrahim (2016). / YUNUS EMRE: Dünya İnsanlığına Miras / . kitapoku. s. 86 / Telif durumu:",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klar_%C3%B6lmez,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Bu eser, kültürel öneminden ötürü Türkiye Cumhuriyeti'nde kamuya maledilmiştir ya da 5846 sayılı / Fikir ve Sanat Eserleri Kanunu / 'na göre eserin koruma süresi dolmuştur. Kanun'un 27. maddesine göre: / Koruma süresi eser sahibinin yaşadığı müddetçe ve ölümünden itibaren 70 yıl devam eder. / Sahibinin ölümünden sonra alenileşen (herkesçe bilinir duruma gelen) eserlerde koruma süresi ölüm tarihinden sonra 70 yıldır. / 12. maddenin birinci fıkrasındaki hallerde (sahibinin adı belirtilmeyen eserlerde) koruma süresi, eserin aleniyet tarihinden sonra 70 yıldır; meğer ki eser sahibi bu sürenin bitmesinden önce adını açıklamış bulunsun. / İlk eser sahibi tüzelkişi ise, koruma süresi aleniyet tarihinden itibaren 70 yıldır.",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klar_%C3%B6lmez,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Bu eser, kültürel öneminden ötürü Türkiye Cumhuriyeti'nde kamuya maledilmiştir ya da 5846 sayılı / Fikir ve Sanat Eserleri Kanunu / 'na göre eserin koruma süresi dolmuştur. Kanun'un 27. maddesine göre:",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klar_%C3%B6lmez,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,Âşıklara Din Ne Hacet / Yunus Emre,https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klara_din_ne_hacet,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Din u millet sorar isen, âşıklara din ne hacet / Âşık kişi harab olur, harab bilmez din diyanet / Âşıkların gönlü gözü maşuk diye gitmiş olur / Ayruk surette ne kalır kim kılısar zühd u taat / Taat kılan uçmağ için din tutmayan tamu için / Ol ikiden farig olur, neye benzer bu işaret / Her kim dostu sever ise, dosttan yana gitmek gerek / İşi gücü dost olucak, cümle işten olur azat / Onun gibi maşukanın haberini kim getirir / Cebrail-i Mürsel sığmaz, böyle olundu işaret / Soru hesap olmayısar, dünya ahret kovana / Münker u nekir ne sorar terkolucak cümle murad / Havf u reca gelmez onda varlık yokluk bırakana / İlm u amel sığmaz onda ne terazi var ne sırat / Ol kıyamet pazarında her bir kula BAŞ kaygısı / Yunus sen âşıklar ile hiç görmeyesin kıyamet",https://tr.wikisource.org/wiki/%C3%82%C5%9F%C4%B1klara_din_ne_hacet,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"İşitin ey yarenler, kıymetli nesnedir aşk / Sultanları kul eyler, hikmetli nesnedir aşk / Akilleri şaşırır deryalara düşürür / Kayaları söyletir, kuvvetli nesnedir aşk / Aşksızlara verme öğüt, öğüdünden ala değil / Aşksız adem hayvan olur, hayvan öğüt bilir değil",https://tr.wikisource.org/wiki/A%C5%9Fk,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Benem ol aşk bahrisi denizler hayran bana / Derya benim katremdir zerreler umman bana / Kafdağı zerrem değil ay u güneş bana / Haktır aslım şek değil, mürşittir Kur'an bana / Yok iken ol barigâh, var idi ol padişah / Ah bu aşk elinden ah, dert oldu derman bana / Adem yaratılmadan can kalıba girmeden / Şeytan lanet olmadan arş idi seyran bana / Yaratıldı Mustafa, yüzü gül gönlü safa / Ol kıldı bize vefa, ondandır ihsan bana / Şeriat ehli ırak eremez bu menzile / Ben kuş dilin bilirim, söyler Süleyman bana / Yunus bu halk içinde eksikliktir Hak bilir / Divane olmuş çağırır, dervişlik buhtan bana",https://tr.wikisource.org/wiki/A%C5%9Fk_bahrisi,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,Aşk Bezirganı / Yunus Emre,https://tr.wikisource.org/wiki/A%C5%9Fk_Bezirgan%C4%B1,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Aşk bezirganı, sermaye canı / Bahadır gördüm, cana kıyanı / Zehi bahadır can terkin urur / Kılıç mı keser himmet giyeni / Kamusun bir gör, kemterin er gör / Alu görmegil, palas giyeni / Tez çıkarırlar fevkal'ulaya / Bin İsa gibi dünya yakanı / Tez indirirler tahtesseraya / Bir Karun gibi dünya kovanı / Aşık olanın nişanı vardır / Melamet olur belli beyanı / Zühdüm var deyu ta'n eylemegil / Merdut ederler mağrur olanı / İlmim var deyu mağrur olmagil / Hak kabul etti kefen soyanı / Atlası kodu, abalar geydi / İbrahim Ethem Sırdan duyanı / Çün Mansur gördü, Ol benem dedi / Od'a yaktılar, işittik anı / Od'a yandırdın, külün savurdun / Öyle mi gerek Seni seveni / Zinhar ey Yunus, gördüm demegil / Od'a yakarlar gördüm deyeni",https://tr.wikisource.org/wiki/A%C5%9Fk_Bezirgan%C4%B1,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,Aşk İmamdır Bize / Yunus Emre,https://tr.wikisource.org/wiki/A%C5%9Fk_imamd%C4%B1r_bize,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Aşk imamdır bize, gönül cemaât, / Kıblemiz dost yüzü daimdir sal3ât. / Dost yüzün görücek, şirk yağmalandı, / Anınçün kapıda kaldı şeriat. / Gönül secde kılar, dost mihrabında, / Yüz yere vuruban eder münacat. / Münacat gibi vakt olmaz arada, / Kim ola dost ile bu demde halvet. / Biz kimse dinine hilaf demeziz, / Din tamam olucak doğar mûhabbet. / Erenler nefesi devletli rumûz, / Onunla fitneden olduk selâmet, / Kalu bela dedik evvel ki demde, / Dahi bugündür o dem-ü bu saat. / Derildi beşimiz, bir vakte geldi, / Beşi bir eyleyip, kim kıla tâat. / Şeriat eydur, sakın şartı bırakma, / Şart ol kişiye kim ede hiyanet. / Doğruluk bekleyen dost kapısında, / Gümansız ol bulur ilâhi devlet. / Yunus ol kapıda kemine kuldur, / Ezelden ebede dektir bu izzet.",https://tr.wikisource.org/wiki/A%C5%9Fk_imamd%C4%B1r_bize,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,← / Yunus Emre türküleri / Aşk Kitabın Okuruz / Yunus Emre,https://tr.wikisource.org/wiki/A%C5%9Fk_kitab%C4%B1n_okuruz,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Söylememek harcısı, söylemeğin hasıdır / Söylemeğin harcısı, gönüllerin pasıdır / Cümle yaratılmışa bir göz ile bakmayan / Halka müderris ise, hakikatte asidir / Şeriat haberini şerh ile eydem işit / Şeriat bir gemidir, hakikat deryasıdır / Ol geminin tahtası her nice muhkem ise / Deniz mevci kat olsa, tahta uşanasıdır / Bundan içeri haber işit, eydeyin ey yar / Hakikatin kafiri, şer'in evliyasıdır / Biz talib-i ilimleriz, aşk kitabın okuruz / Calap müderris bize, aşk hod medresedir",https://tr.wikisource.org/wiki/A%C5%9Fk_kitab%C4%B1n_okuruz,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Aşk makamı âlidir, aşk kadim ezelidir / Aşk sözünü söyleyen, cümle kudret dilidir / Diyen o, işiten o, gösteren o / Her sözü söyleyen o, suret can menzilidir / Suret söz kanda buldu, söz sahibi kaçan oldu / Surete kendi geldi, dil hikmetin yoludur / Bu bizim işretimiz, oldur bu lezzetimiz / İçip esridiğimiz, aşk şerbeti gölüdür / Yunus sözünde yalan, görmedi mumin olan / Ömrün zülmete salan, marifet yoksuludur",https://tr.wikisource.org/wiki/A%C5%9Fk_makam%C4%B1,Halk Edebiyatı / Âşık Tarzı
Yunus Emre,"Aşkın odu ciğerimi, Yaka geldi yaka gider; / Garip başım bu sevdayı, çeke geldi çeke gider; / Kâr etti firak canıma, Âşık oldum canânıma; / Aşk zincirin dost boynuma, Taka geldi taka gider. / Sadıklar durur sözüne, Gayri görünmez gözüne; / Bu gözlerim dost yüzüne, Baka geldi, baka gider; / Bülbül eder ah-ü figan, Hasret ile yandı bu can; / Benim gönülcüğüm ey can, Çıka geldi, çıka gider. / Arada olmasın naşı, Onulmaz bağrımın başı; / Gözlerimin kanlı yaşı, Aka geldi aka gider; / Miskin Yunus'un sözleri, Efgan eder bülbülleri; / Dost bahçesinde gülleri, Koka geldi koka gider.",https://tr.wikisource.org/wiki/A%C5%9Fk_odu,Halk Edebiyatı / Âşık Tarzı
