yazar_adi,metin_pasaji,kaynak_link,donem
Ömer Seyfettin,"Minimini, güzel, şeytan Bedia'yı ailesi büyük bir adama vermek istiyordu. Halbuki o iki senedir, tıbbiye talebesinden olan kuzeni Namık'la işi pişirmişti. Kendini almayı arzu eden bu büyük adam tek gözlüklü, şık bir büyükelçiydi. ""Kırkında var, yok..."" diyorlardı. Bedia daha on yedisine girmemişti. Annesinin, babasının, hanımninesinin ısrarlarına biraz karşı geldi. Ağladı, sızladı, amma sonunda mağlup oldu.",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"Nişan günü köşke bütün aile efradı çağrılacaktı. Fakat bir gün evvel kuzen geldi. Bedia ile yalnız kaldılar. Evvela dargın dargın bakıştılar. Sonra Namık,",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"Namık biraz düşündü. Büyükelçi karısı olmak, yabancı başkentlerden saygı, medeniyet görmek hulyasıyla şimdiden kabına sığmayan Bedia fıkırdayıp duruyordu. Namık dedi ki:",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"Nişan olacağı gün köşke bütün davetliler gelmişti. Namık, Bedia'ya zarif bir şişe verdi. ""İşte antiseptik! Haydi gayret!"" dedi. Bedia, bu cesaretlendirmeden şuh bir heyecan duydu. Eksantrik görünmek en birinci düşüncesiydi. Ne yaptı yaptı, sefirle salonun yanındaki küçük odada yalnız kaldı. Zavallı diplomatın elini tuttu. Saçlarını okşadı. Dizine süründü. Aşktan, maşktan bahsetti. Zavallıyı iyice azdırdı. Diplomat, gül yağına kondurmak için abanoz bıyıklarını uzatırken,",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,Cevap beklemeden koştu. Dışarı çıktı. Namık'ın verdiği şişeyi getirdi.,https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"İştahı kabarmış olan diplomat, bu şuh emre hemen itaat etti. Bedia'nın eline döktüğü su ile güle güle ağzını, bıyıklarını yıkadı. Sonra cebinden çıkardığı ipek mendille kuruladı. Bedia birdenbire,",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"Öpmek için yaklaştı. Bedia, sinir darbesine uğramış gibi katılırcasına gülüyordu. Kahkahalarının çirkinliği içinde, minimini parmağıyla,",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"Diplomat, bu pembe alnı koklayarak öptü. Bedia, azıcık sükûnet bulunca,",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,"Şu aynaya bakınız. Hayaliniz size cevap verecek....
Avrupa'da kadınların eksantrikliğine çok alışkın olan diplomat hiç şaşırmadı. Döndü aynaya baktı. Kendini tanıyamadı. Abanoz bıyıkları fildişi gibi bembeyaz olmuştu. Sarardı, morardı, sonra hâlâ pencerenin yanında gülen Bedia'ya feci bir nazarla baktı:",https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
Ömer Seyfettin,Burnu kanıyormuş gibi mendilini ağzına tutarak salonun ortasından hızla geçti. Portmantodan fesini kaptı. Tek gözlüğünü düşürdü. Bastonunu alamadı. Kendini bahçeye attı. Deli gibi köşkten uzaklaştı.,https://tr.wikisource.org/wiki/Antiseptik,Milli Edebiyat / Servet-i Fünun / Cumhuriyet Öncesi
